impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K22-143942,A657732,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A657732,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Valentine,Rat,NO AGE,Male,Rat,Brown / White,"Feb 10, 2022",Received on,2600 block of  BELLEVUE WAY NE,BELLEVUE,WA,98004,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657732,Image Copyright HLP Inc. 2022,"Received on: 2022-02-10<p/> Found Near: 2600 block of  BELLEVUE WAY NE<p/> Description: Brown / White Male Rat Rat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K22-143539,A656808,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2387057,LOST,Rza,Dog,Over 1 year<p/>,Female,Labrador Retriever,Black,"Jan 25, 2022",Date Lost,BROADWAY  AND MADISON,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2387057,Image Copyright HLP Inc. 2022,"Description: Hawaiian collar. Black coat with tan underbody. <p/>Age: Over 1 year<p/>Location Lost: Broadway and Madison , Seattle WA  98122<p/>Lost Date: 2022-01-25<p/>",
K22-143696,A657065,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389836,LOST,Brenda( Lana,Dog,Over 1 year<p/>,Female,Rottweiler,Black,"Jan 31, 2022",Date Lost,188TH  ST AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389836,Image Copyright HLP Inc. 2022,"Description: She has a light brown collar around her neck <p/>Age: Over 1 year<p/>Location Lost: 188th St Ave Se , Kent WA  98042<p/>Lost Date: 2022-01-31<p/>",
K22-143241,A652276,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Tabatha,Cat,12 YEARS 3 MONTHS,Spayed Female,Domestic Shorthair,Tortie / Brn Tabby,"Nov 05, 2021",Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652276,Image Copyright HLP Inc. 2022,"Received on: 2021-11-05<p/> Description: Tortie / Brn Tabby Spayed Female Domestic Shorthair Cat<p/> Age: 12 YEARS 3 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Tabatha and I am available for adoption!<p/><p/>I was brought in by a good samaritian on November 5, 2021.<p/><p/>I am an independent kitty who likes to do my own thing, but I also would love a lap to cuddle up on duing the cold days. <p/><p/>My caregivers have noticed that I seem to do well with other cats. I don't seem to care about the ones around me.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>Current medical conditions are noted below.<p/><p/>1)     Arthritis<p/><p/>Osteoarthritis is a progressive, degenerative disease of the joints.  Causes may include previous injury or joint disease, or genetic predisposition. Treatment is focused on lifelong management of the disease, rather than a cure.  Maintaining a healthy weight and a moderate activity level is an important aspect of treatment.  Daily medication, nutritional supplements or alternative therapies may be recommended.  Please follow up with your regular veterinarian to formulate a treatment plan for your new pet.<p/><p/>2)  This animal has been diagnosed as hyperthyroid.  This means that thyroid gland is producing an excess of hormones.  This disease can be easily managed with daily medication, radioactive iodine treatment or prescription diet.  Please follow up with you regular veterinarian to create a treatment plan.  We have also included a handout with more information about this disease.<p/>",GREEN
K22-143889,A657563,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A657563,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Baxter,Dog,2 YEARS,Neutered Male,Pit Bull / Mix,Tan / Bl Brindle,"Feb 08, 2022",Received on,1600 block of  145TH PL SE,BELLEVUE,WA,98007,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657563,Image Copyright HLP Inc. 2022,"Received on: 2022-02-08<p/> Found Near: 1600 block of  145TH PL SE<p/> Description: Tan / Bl Brindle Neutered Male Pit Bull / Mix Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K22-143909,A657618,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2393920,LOST,Poison Ivy,Dog,Over 1 year<p/>,Female,Maltese,White,"Feb 08, 2022",Date Lost,"15800 block of  38TH PL S,",,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2393920,Image Copyright HLP Inc. 2022,"Description: Poison Ivy is a small breed morkie. Maltese Yorkie. She's my wife's emotional support animal.<p/>Age: Over 1 year<p/>Location Lost: 15820 38th pl s, 324, Seattle WA  98188<p/>Lost Date: 2022-02-08<p/>",
K22-144014,A657944,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2396186,In Public Home,,Dog,Unknown<p/>,Male,English Springer Spaniel,White,"Feb 14, 2022",Date Found,8TH  AVE NW AND NW RICHMOND BEACH ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2396186,Image Copyright HLP Inc. 2022,"Description: Brown Head Golden Eyes white body with brown spots, white paws, white around Nose, brown spot at base of tail and rest is white<p/>Age: Unknown<p/>Found Near: 8th Ave NW and NW Richmond Beach Road, Seattle WA  98177<p/>Found Date: 2022-02-14<p/>",
K22-143652,A657016,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389323,LOST,Taz,Dog,Over 1 year<p/>,Male,Bichon Frise,White,"Jan 31, 2022",Date Lost,17700 block of  SE 261ST ST,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389323,Image Copyright HLP Inc. 2022,"Description: 40 lbs. Off white<p/>Age: Over 1 year<p/>Location Lost: 17715 se 261st st Covington wa , Kent WA  98042<p/>Lost Date: 2022-01-31<p/>",
K22-144037,A630220,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A630220,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Sofia,Dog,1 YEAR 10 MONTHS,Spayed Female,German Shepherd,Black / Brown,"Feb 15, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A630220,Image Copyright HLP Inc. 2022,"Received on: 2022-02-15<p/> Description: Black / Brown<p/>  Spayed Female German Shepherd Dog<p/> Age: 1 YEAR 10 MONTHS<p/> Adoption Fee: $250.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Sophie and I am available for adoption.<p/><p/>I was brought in by my previous owner on 02/15/2022 because of human medical reasons. . My previous owner described me as shy and playful.<p/><p/>I am a very smart dog! I know how to sit, and stay. <p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/> My caregivers have noticed that I seem to do well with other [small dogs/large dogs]. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K22-143540,A656809,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2387062,LOST,Tova,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Black,"Jan 25, 2022",Date Lost,119TH  PL SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2387062,Image Copyright HLP Inc. 2022,"Description: Grey/Black tabby, white spot on chest, stiff back leg sticks out when sitting, orange collar with name and phone number<p/>Age: Over 1 year<p/>Location Lost: 119th Pl SE, Renton WA  98056<p/>Lost Date: 2022-01-25<p/>",
K22-143876,A656867,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A656867,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Leia,Cat,3 YEARS,Spayed Female,Domestic Shorthair,Brn Tabby,"Feb 07, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A656867,Image Copyright HLP Inc. 2022,"Received on: 2022-02-07<p/> Description: Brn Tabby<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Leia and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on  January 27, 2022.  I was returned February 7, 2022 because I was sick, but I am now feeling much better.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am an independent kitty who likes to do my own thing!<p/><p/>I am a cross eyed cat!!!!!!!!!!!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>",GREEN
K21-142796,A655003,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A655003,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Dickory,Mouse,8 MONTHS,Male,Mouse,Gray,"Dec 23, 2021",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655003,Image Copyright HLP Inc. 2022,"Received on: 2021-12-23<p/> Description: Gray<p/>  Male Mouse Mouse<p/> Age: 8 MONTHS<p/> Adoption Fee: $5.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Dickory and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on 12/23/21.<p/><p/>Mice: Quick Facts!<p/><p/>Related to the wild house mouse, domesticated mice have been bred as pets for centuries.<p/><p/>They are very inquisitive little creatures and love to have the companionship of other mice. However, male mice typically cannot live together and will fight to the death if left together.<p/><p/>Mice live on average 2 years, but they sure do pack a lot of life into that short time frame! Mice are very playful and inquisitive and have the best chance to have a healthy life with adequate care.<p/><p/>Recommendations For a Healthy Life<p/><p/>Exercise Wheel: 8 inch Silent Spinner type wheel<p/><p/>Aquarium: We recommend that mice are housed in a 30 inch long aquarium with mesh lid for safety and to allow them to dig and burrow.<p/><p/>Bedding & Nesting Material: We recommend Carefresh bedding or Kaytee – Clean and Cozy bedding. Plain toilet tissue is great for packing nests and sleeping hide-aways. You can find all these on smile.amazon.com<p/><p/>Variety of food: In addition to Oxbow brand young rat and mouse food, mice can also have a variety of treats to keep their diet balanced. Mice enjoy cooked pasta, peas, hard boiled eggs, pumpkin seeds, sunflower seeds, and meal worms.<p/><p/>Additionally:<p/><p/>A water bottle<p/>A nesting or hide-away box (wood or plastic)<p/>Attention and handling daily<p/>A change in their habitat set up at least once a week.<p/>",BLUE
K22-144035,A658038,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2396683,LOST,Beasty,Cat,Under 1 year<p/>,Female,American Shorthair,Unknown,"Feb 13, 2022",Date Lost,11800 block of  44TH AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2396683,Image Copyright HLP Inc. 2022,"Description: She is under a year old grey short haired cat really loving and friendly last seen Sunday around 1030am has. Alittle. Bit of light stripping <p/>Age: Under 1 year<p/>Location Lost: 11806 44th ave s, Seattle WA  98178<p/>Lost Date: 2022-02-13<p/>",
K22-143835,A657413,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2392391,LOST,Red Schmidt,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Black,"Feb 02, 2022",Date Lost,21400 block of  197TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2392391,Image Copyright HLP Inc. 2022,"Description: Red is a long, black and white cat, and he weighs about 22 to 25 lbs. <p/>Age: Over 1 year<p/>Location Lost: 21410 197th Ave SE, Maple Valley WA  98038<p/>Lost Date: 2022-02-02<p/>",
K22-144092,A658208,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2398067,LOST,Oliver,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Black,"Feb 12, 2022",Date Lost,UNION  AND 22ND PL,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2398067,Image Copyright HLP Inc. 2022,"Description: all black boy cat with long tail<p/>Age: Over 1 year<p/>Location Lost: union and 22nd pl, Renton WA  98059<p/>Lost Date: 2022-02-12<p/>",
K21-142440,A640100,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A640100,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ariya,Cat,8 YEARS 8 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby,"Dec 08, 2021",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A640100,Image Copyright HLP Inc. 2022,"Received on: 2021-12-08<p/> Description: Brn Tabby<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 8 YEARS 8 MONTHS<p/> Adoption Fee: $0.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Ariya and I am available for adoption. I was brought in by my previous owner on June 4, 2021 because my owner was not able to provide me cat. I lived in a home with another cat but the two of us did not get along. My previous owner described me as very affectionate with humans. I have spent a few months in a foster home and my foster parent confirmed that I get along with small dogs, but I do not like other cats at all. <p/><p/>I am very loving and love to sit on your lap when I'm done eating. I like to eat every 6-8 hours and cry when I'm hungry. I purr a lot and will run to my food each time. Sometimes I just want to be left alone and hide under furniture but if you call my name I'll come out for pets once I get to know you.  <p/><p/>I have piercing green eyes that are absolutely gorgeous! And my tail hangs over my back, making me a very unique gal!  I love to get lots and lots of pets and attention, but beware because I will occasionally give the friendly little love bite! I will try not to crunch too hard, as long as you promise to give me lots of treats ??<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/><p/>I have been diagnosed with Feline Leukemia Virus. FeLV is transmitted to other cats through saliva and activities such as sharing water bowls, communal grooming and social contact.  Infection is lifelong and there is no cure.  Cats infected with feline leukemia virus typically live shorter lifespans, although with proper care and management, some cats can have a good quality of life.  Please refer to the information handout.<p/><p/>My adoption fee has been paid for by a generous donor in order to help me to get adopted!<p/><p/>",RED
K22-143924,A657666,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2394205,In Public Home,?,Dog,Over 1 year<p/>,Female,Bull Terrier,Unknown,"Feb 09, 2022",Date Found,300 block of  SW AND 6TH AVE SW,FEDERA,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2394205,Image Copyright HLP Inc. 2022,"Description: Female, approx 2 yrs, gray, approx 40 pounds<p/>Age: Over 1 year<p/>Found Near: 300 block of  SW AND 6TH AVE SW<p/>Found Date: 2022-02-09<p/>",
K22-143330,A626473,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A626473,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Atheena,Dog,5 YEARS 6 MONTHS,Spayed Female,Australian Cattle Dog / Mix,White / Black,"Jan 16, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A626473,Image Copyright HLP Inc. 2022,"Received on: 2022-01-16<p/> Description: White / Black<p/>  Spayed Female Australian Cattle Dog / Mix Dog<p/> Age: 5 YEARS 6 MONTHS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Atheena and I am available for adoption. <p/><p/>I was adopted and recently brought back on January 16, 2022.<p/><p/>I am a very shy girl and really unsure of new people, but when I get to know you I blossom into my true self and become very dedicated to you.<p/><p/>I am an independent dog who likes to do my own thing!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have observed that I might not get along with other dogs. I may do best as the only dog in my new home, or I may need a very SLOW introduction to other dogs.<p/><p/>I will need to find a home where someone is available for me in these early days. It is important to be consistent with me and socialize me so I can have the best companionship with people and other animals. I require patience because everything is brand new so I will need some TLC while I learn. Because of my shy nature I would do best in a home without children.<p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/>",BLUE
K22-144015,A657955,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A657955,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Chester,Dog,6 YEARS,Male,Chow Chow,Red,"Feb 14, 2022",Received on,42500 block of  SE 175TH PL,NORTH BEND,WA,98045,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657955,Image Copyright HLP Inc. 2022,"Received on: 2022-02-14<p/> Found Near: 42500 block of  SE 175TH PL<p/> Description: Red Male Chow Chow Dog<p/> Age: 6 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K22-143180,A655850,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2379388,In Public Home,,Dog,Over 1 year<p/>,Male,Miniature Pinscher,Brown,"Jan 08, 2022",Date Found,MORRIS  AVE S AND HOUSER WAY S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2379388,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Found Near: Morris ave s  and houser way s, Renton WA  98057<p/>Found Date: Jan  8 202<p/>",
K22-143305,A656160,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2381728,In Public Home,Marianne E P,Dog,Over 1 year<p/>,Female,Pit Bull,White,"Jan 15, 2022",Date Found,UNIVERSITY  DISTRICT SEATTLE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2381728,Image Copyright HLP Inc. 2022,"Description: White and gray spots female possibly pregnant or recently pregnant<p/>Age: Over 1 year<p/>Found Near: University district Seattle, Seattle WA  98105<p/>Found Date: 2022-01-15<p/>",
K22-143179,A655849,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2379382,LOST,Gilly,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Black,"Jan 08, 2022",Date Lost,1500 block of  NE HIGHMOOR CT,ISSAQUAH,WA,98029,ISSAQUAH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2379382,Image Copyright HLP Inc. 2022,"Description: Gilly has no collar on.<p/>Age: Over 1 year<p/>Location Lost: 1523 NE highmoor Ct, Issaquah WA  98029<p/>Lost Date: 2022-01-08<p/>",
K22-144069,A658164,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A658164,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Rose,Dog,2 YEARS,Female,Pit Bull,White / Black,"Feb 17, 2022",Received on,10700 block of  NE 10TH ST,BELLEVUE,WA,98004,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A658164,Image Copyright HLP Inc. 2022,"Received on: 2022-02-17<p/> Found Near: 10700 block of  NE 10TH ST<p/> Description: White / Black Female Pit Bull Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-143897,A657580,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,NO AGE,Unknown,Pit Bull,Tan,"Feb 08, 2022",Received on,17600 block of  128TH AVE SE,RENTON,WA,98058,KING COUNTY,,,,Image Copyright HLP Inc. 2022,Received on: 2022-02-08<p/> Found Near: 17600 block of  128TH AVE SE<p/> Description: Tan Unknown Pit Bull Dog<p/> Age: NO AGE<p/>,
K22-143724,A657130,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Unknown,Domestic Longhair,Tan / White,"Feb 02, 2022",Received on,36400 block of  55TH AVE S,AUBURN,WA,98001,KING COUNTY,,,,Image Copyright HLP Inc. 2022,Received on: 2022-02-02<p/> Found Near: 36400 block of  55TH AVE S<p/> Description: Tan / White Unknown Domestic Longhair Cat<p/> Age: NO AGE<p/>,
K22-143138,A655722,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2378338,LOST,Odin,Dog,Over 1 year<p/>,Male,Pug,Black,"Jan 07, 2022",Date Lost,36TH  AND DENNY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2378338,Image Copyright HLP Inc. 2022,"Description: Black pug, starting to go grey in the face and chest<p/>Age: Over 1 year<p/>Location Lost: 36th and Denny, Seattle WA  98122<p/>Lost Date: 2022-01-07<p/>",
K22-143747,A657178,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2390700,LOST,Bailey,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Jan 17, 2022",Date Lost,100 block of  ORCAS KEY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2390700,Image Copyright HLP Inc. 2022,"Description: Bailey is in indoor-only cat but accidentally escaped and has been missing ever since. She is shy and skittish and likely will not come to you, but would appreciate a sighting!<p/>Age: Over 1 year<p/>Location Lost: 38 Orcas Key, Bellevue WA  98006<p/>Lost Date: 2022-01-17<p/>",
K22-143991,A657866,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A657866,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Emmy,Barn Cat,1 YEAR 6 MONTHS,Spayed Female,Domestic Shorthair,Tortie / Brn Tabby,"Feb 13, 2022",Received on,39600 block of  186TH PL SE,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657866,Image Copyright HLP Inc. 2022,"Received on: 2022-02-13<p/> Found Near: 39600 block of  186TH PL SE<p/> Description: Tortie / Brn Tabby Spayed Female Domestic Shorthair Barn Cat<p/> Age: 1 YEAR 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-143703,A657090,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389932,LOST,Mufasa,Dog,Over 1 year<p/>,Male,Yorkshire Terrier,Unknown,"Jan 28, 2022",Date Lost,500 block of  BRONSON WAY NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389932,Image Copyright HLP Inc. 2022,"Description: Mufasa had a black Hoodie sweatshirt with silver skulls on it and a black dog collar with his name on it and 2 brown dots in his fur on his back next to his tail.<p/>Age: Over 1 year<p/>Location Lost: 579 Bronson way ne , Renton WA  98056<p/>Lost Date: 2022-01-28<p/>",
K22-143315,A656175,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2382143,LOST,Brandy,Dog,Over 1 year<p/>,Male,Shih Tzu,White,"Jan 11, 2022",Date Lost,HOME  ST.,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2382143,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Location Lost: Home St., Seattle WA  98168<p/>Lost Date: 2022-01-11<p/>",
K22-143721,A657125,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2390247,LOST,Riku,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,"Feb 01, 2022",Date Lost,14900 block of  SE 272ND ST,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2390247,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Location Lost: 14901  SE  272nd st, Kent WA  98042<p/>Lost Date: 2022-02-01<p/>",
K22-143200,A655949,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2379845,LOST,Luke,Dog,Over 1 year<p/>,Male,Brittany,White,"Jan 10, 2022",Date Lost,400 block of  HIGHWAY,BUCKLEY BONNEY,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2379845,Image Copyright HLP Inc. 2022,"Description: Orange and white markings. Has a little white shading on face as he's older. Docked tail. Feather like hair on legs and butt. White paws with light orange spots. <p/>Age: Over 1 year<p/>Location Lost: 410 highway, Buckley, Bonney lake, Buckley WA  98321<p/>Lost Date: 2022-01-10<p/>",
